,text,score
0,"Sinceramente, foi-se o tempo que iPhones apresentavam acabamento excelente. Uso película e capinha, tenho cuidado, assim como tive com outros aparelhos da mesma marca (que não apresentaram problema semelhante), mas mesmo que nada. E, se você reclamar com a Apple, apresentam solução de troca de peça em que você fica sem seu aparelho de celular por 3-5 dias úteis, sendo que, se houver atraso da transportadora, o prazo pode ser dilatado por até 20 dias. Não trocam o aparelho, não interessa se não apresenta nenhum outro dano, se a bateria está 100%, se tem pouquíssimo período de uso, nada. Você suporta o ônus de ficar sem seu aparelho, ter que fazer vários backups, ver seu aparelho desmontado etc. A culpa não é sua, mas o ônus e transtorno é todo seu. E a reclamação de descascamento nas bordas (de dentro para fora) da câmera é comum, basta buscar no Google.",1
1,"Prezados,",1
2,"Demorei uns dias usando para fazer minha avaliação para ter certeza a entrega é rápida porém vem mal embalado como já falaram , o celular esquenta bastante quando tá sendo carregado e quando está em uso normal do nada parece q pegando fogo e eu tenho q tirar a capinha e parar um pouco o uso  , a bateria continua horrível nível Apple , o celular é bonito e a câmera é boa mas só a traseira é é isso não vele o preço .",1
3,"Nao gostei, comprei um iPhone achando que era novo, pelo chegou um iPhone que não liga, com parafuso enferrujado e com arranhões na tela. Desde dia 3 de dezembro estou tentando fazer a devolução mais sem suceso. Nao recomendo",1
4,"Celular zerado e já tenho que levar na Apple amanhã para avaliar o celular, pois o NFC não funciona. Caixa veio estourada.",1
5,"O produto está tudo ok, mas paguei a mais para entrega do 10/12 até as 20:00, onde o entregador liga bem depois desse horário e não fez a entrega conforme estava combinado, gostaria da minha devolução.",1
6,"Recebi na sexta (18/10) o produto em minha residência. Ao tentar ligar a tela, o iPhone nunca inicializou. Entrei em contato com o suporte da Apple e estou seguindo os trâmites para de fato ter um iPhone funcionante. Voltarei para deixar o fim da história registrado aqui. Torçam por mim. :(",1
7,Já tive vários iphones e esse foi o único que me decepcionou. A bateria não dura nada e a conexão falha o tempo todo. Já entrei em contato com a apple que me disse não identificar problemas.,1
8,"Após 1 semana usado, o aparelho começou a desligar sozinho, não obedece comandos e apareceu uma mensagem que a bateria não estava sendo reconhecida e possivelmente veio com defeito.",1
9,Infelizmente com 15 dias o touch-screen parou de funcionar. Mas foi muito tranquilo fazerxa devolução. Estou no aguardo para fazer a compra de outro aparelho.,1
10,"Sinceramente, foi-se o tempo que iPhones apresentavam acabamento excelente. Uso película e capinha, tenho cuidado, assim como tive com outros aparelhos da mesma marca (que não apresentaram problema semelhante), mas mesmo que nada. E, se você reclamar com a Apple, apresentam solução de troca de peça em que você fica sem seu aparelho de celular por 3-5 dias úteis, sendo que, se houver atraso da transportadora, o prazo pode ser dilatado por até 20 dias. Não trocam o aparelho, não interessa se não apresenta nenhum outro dano, se a bateria está 100%, se tem pouquíssimo período de uso, nada. Você suporta o ônus de ficar sem seu aparelho, ter que fazer vários backups, ver seu aparelho desmontado etc. A culpa não é sua, mas o ônus e transtorno é todo seu. E a reclamação de descascamento nas bordas (de dentro para fora) da câmera é comum, basta buscar no Google.",1
11,"Prezados,",1
